,targetname,datetime_jd,datetime_str,x,y,z,vx,vy,vz,lighttime,range,range_rate
0,Earth (399),2460911.843889222,A.D. 2025-Aug-24 08:15:12.0288,0.8849266735074625,-0.4889228751713097,2.410744671760009e-05,0.008043350679076905,0.0150009056458673,-2.88957512718906e-07,0.005839105576709996,1.011009790225561,-0.0002141525901338537
1,Earth (399),2460911.845048222,A.D. 2025-Aug-24 08:16:52.1664,0.8849359955796677,-0.4889054890273519,2.410711181790132e-05,0.008043055205402353,0.01500106841240726,-2.889538621925429e-07,0.005839104143192273,1.011009542019661,-0.0002141578495283906
2,Earth (399),2460911.846213222,A.D. 2025-Aug-24 08:18:32.8224,0.8849453655659776,-0.4888880126873489,2.410677518878164e-05,0.008042758198670294,0.01500123201540209,-2.88950236952324e-07,0.005839102702217926,1.011009292522687,-0.0002141631359451768
3,Earth (399),2460911.847377222,A.D. 2025-Aug-24 08:20:13.3920,0.8849547271638082,-0.4888705511581533,2.410643885280862e-05,0.008042461443449007,0.01500139547178955,-2.889466590670706e-07,0.005839101262444942,1.011009043233723,-0.00021416841761893
4,Earth (399),2460911.848536222,A.D. 2025-Aug-24 08:21:53.5296,0.8849640482053946,-0.4888531644464771,2.410610396566047e-05,0.008042165959542276,0.01500155821991163,-2.889431404878639e-07,0.005839099828821272,1.011008795009479,-0.0002141736764010719
5,Earth (399),2460911.849700222,A.D. 2025-Aug-24 08:23:34.0992,0.8849734091138551,-0.4888357025375865,2.410576763788022e-05,0.008041869197477913,0.01500172166397957,-2.889396508522484e-07,0.005839098388977431,1.011008545708246,-0.0002141789576649671
6,Earth (399),2460911.850864222,A.D. 2025-Aug-24 08:25:14.6688,0.8849827696768825,-0.4888182404384505,2.41054313141341e-05,0.008041572431984993,0.0150018851018744,-2.889362054353248e-07,0.005839096949098086,1.011008296400866,-0.0002141842387233758
7,Earth (399),2460911.852026222,A.D. 2025-Aug-24 08:26:55.0656,0.8849921138119262,-0.4888008081531638,2.410509557229855e-05,0.008041276172978767,0.01500204825279089,-2.889328100356601e-07,0.005839095511657349,1.011008047515717,-0.0002141895105027605
8,Earth (399),2460911.853185222,A.D. 2025-Aug-24 08:28:35.2032,0.8850014334797649,-0.4887834206849495,2.41047607011126e-05,0.008040980675438066,0.01500221097636318,-2.889294672929772e-07,0.005839094077892491,1.011007799267028,-0.0002141947684675489
9,Earth (399),2460911.854347222,A.D. 2025-Aug-24 08:30:15.6000,0.8850107769271837,-0.4887659880210036,2.410442496697179e-05,0.008040684409608248,0.01500237411499135,-2.889261598977527e-07,0.005839092640381089,1.011007550369644,-0.0002142000398374949
10,Earth (399),2460911.929312222,A.D. 2025-Aug-24 10:18:12.5760,0.8856128302409091,-0.4876409408812877,2.408277127284595e-05,0.008021563975885162,0.01501288579846725,-2.888057838500765e-07,0.005838999826404389,1.010991480127741,-0.0002145396788047644
11,Earth (399),2460911.930474222,A.D. 2025-Aug-24 10:19:52.9728,0.885622151125993,-0.4876234958134327,2.408243568079611e-05,0.008021267486756753,0.01501304853389617,-2.888053577220714e-07,0.005838998386578285,1.010991230829579,-0.0002145449365706484
12,Earth (399),2460911.931634222,A.D. 2025-Aug-24 10:21:33.1968,0.8856314556246061,-0.4876060805829163,2.408210066679703e-05,0.008020971504544856,0.01501321098308879,-2.888049761113043e-07,0.005838996949195176,1.010990981954409,-0.0002145501850772988
13,Earth (399),2460911.932798222,A.D. 2025-Aug-24 10:23:13.7664,0.8856407918625788,-0.487588605110466,2.408176449799132e-05,0.008020674498298233,0.01501337398628371,-2.888046371577605e-07,0.005838995506820229,1.010990732214928,-0.0002145554514715422
