,targetname,datetime_str,datetime_jd,M1,solar_presence,k1,lunar_presence,siderealtime
0,ATLAS (C/2025 N1),2025-Aug-24 08:15:12.029,2460911.843889224,12.3,,4.5,,17.8088187833
1,ATLAS (C/2025 N1),2025-Aug-24 08:16:52.166,2460911.845048218,12.3,,4.5,,17.8367107716
2,ATLAS (C/2025 N1),2025-Aug-24 08:18:32.822,2460911.846213218,12.3,,4.5,,17.8647473214
3,ATLAS (C/2025 N1),2025-Aug-24 08:20:13.392,2460911.847377222,12.3,,4.5,,17.8927599168
4,ATLAS (C/2025 N1),2025-Aug-24 08:21:53.530,2460911.848536227,12.3,,4.5,,17.9206521837
5,ATLAS (C/2025 N1),2025-Aug-24 08:23:34.099,2460911.84970022,12.3,,4.5,,17.9486645006
6,ATLAS (C/2025 N1),2025-Aug-24 08:25:14.669,2460911.850864225,12.3,,4.5,,17.9766770961
7,ATLAS (C/2025 N1),2025-Aug-24 08:26:55.066,2460911.852026227,12.3,,4.5,,18.0046415043
8,ATLAS (C/2025 N1),2025-Aug-24 08:28:35.203,2460911.85318522,12.3,,4.5,,18.0325334927
9,ATLAS (C/2025 N1),2025-Aug-24 08:30:15.600,2460911.854347222,12.3,,4.5,,18.0604979011
10,ATLAS (C/2025 N1),2025-Aug-24 10:18:12.576,2460911.929312222,12.3,,4.5,,19.8645836942
11,ATLAS (C/2025 N1),2025-Aug-24 10:19:52.973,2460911.930474225,12.3,,4.5,,19.8925481025
12,ATLAS (C/2025 N1),2025-Aug-24 10:21:33.197,2460911.931634224,12.3,,4.5,,19.9204643236
13,ATLAS (C/2025 N1),2025-Aug-24 10:23:13.766,2460911.932798218,12.3,,4.5,,19.9484766405
14,ATLAS (C/2025 N1),2025-Aug-24 10:24:54.077,2460911.933959225,12.3,,4.5,,19.9764170945
15,ATLAS (C/2025 N1),2025-Aug-24 10:26:34.733,2460911.935124225,12.3,,4.5,,20.0044536442
16,ATLAS (C/2025 N1),2025-Aug-24 10:28:15.043,2460911.93628522,12.3,,4.5,,20.0323938196
17,ATLAS (C/2025 N1),2025-Aug-24 10:29:55.613,2460911.937449225,12.3,,4.5,,20.060406415
18,ATLAS (C/2025 N1),2025-Aug-24 10:31:36.182,2460911.938613218,12.3,,4.5,,20.0884187318
19,ATLAS (C/2025 N1),2025-Aug-24 10:33:16.406,2460911.939773218,12.3,,4.5,,20.116334953
20,ATLAS (C/2025 N1),2025-Aug-24 10:39:52.896,2460911.944362222,12.3,,4.5,,20.2267725978
21,ATLAS (C/2025 N1),2025-Aug-24 10:41:33.379,2460911.94552522,12.3,,4.5,,20.2547609604
22,ATLAS (C/2025 N1),2025-Aug-24 10:43:14.035,2460911.94669022,12.3,,4.5,,20.2827975101
23,ATLAS (C/2025 N1),2025-Aug-24 10:44:54.259,2460911.94785022,12.3,,4.5,,20.3107137312
24,ATLAS (C/2025 N1),2025-Aug-24 10:46:34.829,2460911.949014225,12.3,,4.5,,20.3387263267
25,ATLAS (C/2025 N1),2025-Aug-24 10:48:14.880,2460911.950172222,12.3,,4.5,,20.3665943606
26,ATLAS (C/2025 N1),2025-Aug-24 10:49:55.104,2460911.951332222,12.3,,4.5,,20.3945105818
27,ATLAS (C/2025 N1),2025-Aug-24 10:51:35.328,2460911.952492222,12.3,,4.5,,20.4224268029
28,ATLAS (C/2025 N1),2025-Aug-24 10:53:15.898,2460911.953656227,12.3,,4.5,,20.4504393983
